name,id,nametype,recclass,mass (g),fall,year,reclat,reclong
Nantan,16906,Valid,"Iron, IAB-MG",9500000,Found,1958,25.1,107.7
Santiago Papasquiero,23169,Valid,"Iron, ungrouped",119500,Found,1958,24.5,-106
Calliham,5201,Valid,L6,40000,Found,1958,28.41667,-98.25
Belmont,5008,Valid,H6,25300,Found,1958,42.73333,-90.35
Bison,5061,Valid,LL6,11000,Found,1958,38.30667,-99.71
Sombrerete,23664,Valid,"Iron, IAB-sHL",10000,Found,1958,23.63333,-103.66667
Crow Peak,44709,Valid,"Iron, IIAB",6320,Found,1958,44.47733,-103.972
Ramsdorf,22386,Valid,L6,4682,Fell,1958,51.88333,6.93333
Hajmah (c),11476,Valid,L5/6,1132,Found,1958,19.91667,56.25
Hajmah (b),11475,Valid,L6,890.6,Found,1958,19.91667,56.25
Bir Hadi,5053,Valid,H5,855,Found,1958,19.41667,51.03333
Massenya,15442,Valid,H5,612.4,Found,1958,11.35,16.15
Hajmah (a),11474,Valid,Ureilite,596,Found,1958,19.91667,56.25
Wingellina,24284,Valid,H4,200,Found,1958,-26.05,128.95
Okabe,17998,Valid,H5,194,Fell,1958,36.18333,139.21667
Governador Valadares,10950,Valid,Martian (nakhlite),158,Found,1958,-18.85,-41.95
South Oman,23679,Valid,EH4/5,90,Found,1958,21,56.66667
Liangcheng,14645,Valid,"Iron, IIIAB",200000,Found,1959,40.5,112.5
Yardymly,30352,Valid,"Iron, IAB complex",150200,Fell,1959,38.93333,48.25
Alatage,452,Valid,"Iron, IIIAB",37500,Found,1959,42.33333,93
Elga,10012,Valid,"Iron, IIE",28800,Found,1959,64.7,141.2
Lismore,14660,Valid,"Iron, IIIAB?",10000,Found,1959,-35.95,143.33333
Pribram,18887,Valid,H5,5555,Fell,1959,49.66667,14.03333
Temple,23894,Valid,L6,5000,Found,1959,31.11667,-97.3
Hamlet,11485,Valid,LL4,3710,Fell,1959,41.38333,-86.6
Cee Vee,5305,Valid,H5,3600,Found,1959,34.2,-100.48333
Akwanga,432,Valid,H,3000,Fell,1959,8.91667,8.43333
Bagdad,4920,Valid,"Iron, IIIAB",2200,Found,1959,34.613317,-113.398967
Algarrobo,467,Valid,"Iron, IAB-ung",1280,Found,1959,-27.08333,-70.58333
Kandahar (Afghanistan),12243,Valid,L6,299,Fell,1959,31.6,65.78333
St.-Chinian,23097,Valid,L6,134.3,Fell,1959,43.43333,2.95
Rawlinna 001,22399,Valid,"Pallasite, PMG-an",74,Found,1959,-31.16667,125.26667
Portis,18875,Valid,L,30,Found,1959,39.56667,-98.68333
Millbillillie,16643,Valid,Eucrite-mmict,330000,Fell,1960,-26.45,120.36667
Bruderheim,5156,Valid,L6,303000,Fell,1960,53.9,-112.88333
Woolgorong,24334,Valid,L6,36000,Fell,1960,-27.75,115.83333
Muenatauray,16842,Valid,"Iron, IIAB",30000,Found,1960,4.9,-61.2
Cleo Springs,5378,Valid,H4,24000,Found,1960,36.43333,-98.43333
De Hoek,6622,Valid,"Iron, ungrouped",20930,Found,1960,-29.38333,23.1
Ellicott,10021,Valid,"Iron, IAB-ung",15700,Found,1960,38.80778,-104.56944
Sí£o Joí£o Nepomuceno,23170,Valid,"Iron, IVA-an",15300,Found,1960,-21.55,-43.01667
as-Su'aydan,2354,Valid,L5,5855,Found,1960,21.25417,55.305
Arrabury,2337,Valid,H6,5300,Found,1960,-26.5,141.08333
Watonga,55758,Valid,LL3.1,5025,Found,1960,35.833333,-98.4
Stoneham,31330,Valid,H5,5000,Found,1960,40.63783,-103.69717
al-Ghanim (stone),469,Valid,L6,3755,Found,1960,19.7,53.96667
Itutinga,12059,Valid,"Iron, IIIAB",3200,Found,1960,-21.33333,-44.66667
Odessa (stone),17986,Valid,H4,1926,Found,1960,46.5,30.76667
Brownfield (iron),5154,Valid,"Iron, IID",1626,Found,1960,33.21667,-102.18333
Selden,23484,Valid,LL5,1560,Found,1960,39.53333,-100.56667
Richa,22598,Valid,"Iron, IID",1500,Found,1960,10,9
Venus,24160,Valid,H4,1013,Found,1960,32.4,-97.08333
Barbianello,4941,Valid,"Iron, ungrouped",860,Found,1960,45.05778,9.19556
Um Habib,24111,Valid,L6,696,Found,1960,21.5,50.5
al-Ghanim (iron),468,Valid,"Iron, IIIAB",500,Found,1960,19.83333,54.08333
Riverton,22613,Valid,H5,103.3,Found,1960,50.94,-96.99167
Soheria,23660,Valid,OC,72.9,Fell,1960,27.13333,84.06667
Midland,16633,Valid,Iron,34,Found,1960,44.75,-79.88333
Calcalong Creek,5194,Valid,Lunar (anorth),19,Found,1960,-26.45,120.36667
Clovis (no. 1),5385,Valid,H3.6,283000,Found,1961,34.3,-103.13472
ad-Dahbubah,376,Valid,H5,90000,Found,1961,19.83333,51.25
Kayakent,12268,Valid,"Iron, IIIAB",85000,Fell,1961,39.26333,31.78
Seminole,23488,Valid,H4,43900,Found,1961,32.68333,-102.61667
Kargapole,12261,Valid,H4,21800,Found,1961,55.88333,64.3
Duncanville,7744,Valid,H,17800,Found,1961,32.63333,-96.86667
Caldwell,5197,Valid,L-imp melt,12900,Found,1961,37.03333,-97.625
Lazarev,12745,Valid,"Iron, ungrouped",10000,Found,1961,-71.95,11.5
Harleton,11830,Valid,L6,8360,Fell,1961,32.675,-94.51167
Kennard,12279,Valid,H5,8200,Found,1961,41.48333,-96.16667
Leoville,12766,Valid,CV3,8100,Found,1961,39.63333,-100.46722
Rhineland,22595,Valid,H5,6240,Found,1961,33.53333,-99.61667
Akron (1961),431,Valid,L6,4000,Found,1961,40.15,-103.16667
Djermaia,7656,Valid,H,3950,Fell,1961,12.73333,15.05
Lake Bonney,12436,Valid,L6,2750,Found,1961,-37.75,140.3
Batesland,4973,Valid,H5,2500,Found,1961,43.13333,-102.1
Ehole,7774,Valid,H5,2400,Fell,1961,-17.3,15.83333
Eunice,10064,Valid,H5,2300,Found,1961,34.47,-101.75833
Sweetwater,23770,Valid,H5,1760,Found,1961,32.55,-100.41667
Canyonlands,5258,Valid,H6,1520,Found,1961,38.18333,-109.88333
Anoka,2307,Valid,"Iron, IAB-sLM",1108,Found,1961,45.2,-93.43333
North Haig,17004,Valid,Ureilite-pmict,964,Found,1961,-30.21667,126.21667
ash-Shalfah,2350,Valid,L4,935,Found,1961,21.875,49.71944
Kulak,12369,Valid,L5,453.6,Fell,1961,30.73111,66.80222
Bells,5005,Valid,C2-ung,375,Fell,1961,33.6,-96.46667
Oshkosh,18036,Valid,H,144.8,Found,1961,44.07694,-88.56278
Budulan,5161,Valid,Mesosiderite-B4,100000,Found,1962,50.56667,114.9
Hunter,11987,Valid,LL5,74600,Found,1962,36.56,-97.66667
Needles,16936,Valid,"Iron, IID",45300,Found,1962,34.44417,-114.8325
Manitouwabing,15406,Valid,"Iron, IIIAB",39000,Found,1962,45.44,-79.87556
Rowena,22772,Valid,H6,34700,Found,1962,-29.8,148.63333
Thiel Mountains,23911,Valid,"Pallasite, PMG",31700,Found,1962,-85.45,-90
Desuri,6693,Valid,H6,25400,Fell,1962,25.73333,73.61667
Efremovka,7772,Valid,CV3,21000,Found,1962,52.5,77
Two Buttes (a),24091,Valid,H5,19700,Found,1962,37.63333,-102.41667
Vulcan,24192,Valid,H6,19000,Found,1962,50.51667,-113.13333
Zagami,30386,Valid,Martian (shergottite),18000,Fell,1962,11.73333,7.08333
Emery,10031,Valid,Mesosiderite-A3,16700,Found,1962,43.56333,-97.58333
Seagraves,23469,Valid,H4,13000,Found,1962,32.93333,-102.58333
Clifford,5380,Valid,L6,11360,Found,1962,39.1,-103.25833
Finney,10104,Valid,L5,10700,Found,1962,34.26667,-101.56667
Shields,23533,Valid,H5,9780,Found,1962,38.7,-100.35
Bogou,5097,Valid,"Iron, IAB-MG",8800,Fell,1962,12.5,0.7
Slovak,23647,Valid,H5,8220,Found,1962,34.65,-91.58333
Williston,24275,Valid,"Iron, IIIAB",7645,Found,1962,47.98333,-103.65
Coonana,5437,Valid,H4,6800,Found,1962,-29.85,140.7
Loop,14702,Valid,L6,5600,Found,1962,32.9,-102.28333
Ste. Marguerite,23099,Valid,H4,4960,Fell,1962,50.76667,3
Valkeala,24150,Valid,L6,4000,Found,1962,61.05,26.83333
Acomita,372,Valid,"Pallasite, PMG",3956,Found,1962,35.05,-107.56667
Balfour Downs,4927,Valid,"Iron, IAB-sLL",2400,Found,1962,-22.75,120.83333
Bowesmont,5124,Valid,L6,2270,Found,1962,48.68333,-97.16667
Dosso,7722,Valid,L6,1250,Fell,1962,13.05,3.16667
Sleeper Camp 001,23627,Valid,L6,1250,Found,1962,-30.25,126.33333
Toulon,24035,Valid,H5,1214.5,Found,1962,41.11667,-89.80833
Sierra County,23589,Valid,H5,1000,Found,1962,33,-107.5
Sí£o Jose do Rio Preto,23171,Valid,H4,927,Fell,1962,-20.81,-49.38056
Billygoat Donga,5048,Valid,L6,893,Found,1962,-30.13333,126.36667
Kiel,12301,Valid,L6,737.6,Fell,1962,54.4,10.15
Coronel Arnold,5445,Valid,L,450,Found,1962,-33.06667,-61
Nora Creina,16990,Valid,L4,283.5,Found,1962,-37.31667,139.85
Oberon Bay,17977,Valid,LL6,179,Found,1962,-39.06667,146.35
Carnegie,5278,Valid,L6,132700,Found,1963,35.16667,-98.64389
Warburton Range,24212,Valid,"Iron, IVB",56930,Found,1963,-26.28333,126.66667
Peace River,18180,Valid,L6,45760,Fell,1963,56.13333,-117.93333
Clovis (no. 2),5386,Valid,L6,41300,Found,1963,34.3,-103.13333
Lahoma,12432,Valid,L5,21800,Found,1963,36.38333,-98.08333
Hassayampa,11851,Valid,H4,16000,Found,1963,33.75,-112.66667
Talpa,23793,Valid,H6,13000,Found,1963,31.86667,-99.58333
Waka,24200,Valid,H6,11875,Found,1963,36.15,-101.05
Mulberry Draw,16845,Valid,L5,9716,Found,1963,35.63333,-100.13333
Ohuma,17996,Valid,L5,7700,Fell,1963,6.75,8.5
Salla,23110,Valid,L6,7000,Found,1963,66.8,28.45
Fremont Butte,10181,Valid,L4,6647,Found,1963,38.5,-105.5
Tobe,24014,Valid,H4,5386,Found,1963,37.2,-103.58333
Inner Mongolia,12037,Valid,L6,3000,Fell,1963,41,112
Karatu,12258,Valid,LL6,2220,Fell,1963,-3.5,35.58333
Atwood,4891,Valid,L6,2100,Found,1963,40.51667,-103.26667
Mosquero,16757,Valid,H4,1800,Found,1963,35.75,-103.93333
Jonah,12200,Valid,H5,1304,Found,1963,30.625,-97.53333
Usti Nad Orlici,24132,Valid,L6,1269,Fell,1963,49.975,16.375
Buckleboo,5160,Valid,H6,992,Found,1963,-32.95556,136.1375
Mulga (south),16848,Valid,H4,894,Found,1963,-30.2,126.36667
Plainview (c),18843,Valid,OC,631,Found,1963,34.125,-101.75667
Zaisan,30388,Valid,H5,463,Fell,1963,47.5,83
Northampton,17009,Valid,Iron,353,Found,1963,42.31667,-72.63333
Hoxie,11915,Valid,OC,266.1,Fell,1963,39.35,-100.45
Monte Colina,16724,Valid,L3,116.8,Found,1963,-29.4,139.98333
Lucerne Valley 004,14728,Valid,L6,37.4,Found,1963,34.5,-116.95
Lucerne Valley 006,14730,Valid,H4,26.9,Found,1963,34.5,-116.95
Lucerne Valley 001,14725,Valid,L6,15.8,Found,1963,34.5,-116.95
Yingde,30363,Valid,"Iron, IVA",3000000,Found,1964,24.2,113.4
Mount Padbury,16785,Valid,Mesosiderite-A1,272000,Found,1964,-25.66667,118.1
Wellman (c),24239,Valid,H4,45000,Found,1964,33.03333,-102.33333
Plains,18839,Valid,H5,34300,Found,1964,33.28333,-102.76667
Changxing,5323,Valid,H5,27900,Found,1964,31.33333,121.66667
Mulga (north),16847,Valid,H6,19900,Found,1964,-30.18333,126.36667
Sargiin Gobi,23179,Valid,"Iron, IAB complex",17500,Found,1964,45.9835,105.75883
Claytonville,5375,Valid,L5,15600,Found,1964,34.34667,-101.49
Mayerthorpe,15449,Valid,"Iron, IAB complex",12610,Found,1964,53.775,-115.03333
Karasburg,12257,Valid,"Iron, IIIAB?",12000,Found,1964,-27.66667,18.96667
Corowa,5446,Valid,"Iron, IIF",11340,Found,1964,-36,146.36667
Muslyumovo,16884,Valid,H4,10580,Found,1964,55.3,53.2
Granes,10956,Valid,L6,9000,Fell,1964,42.9,2.25
Frenchman Bay,10182,Valid,H3.5,8800,Found,1964,-30.60833,115.16667
Sutton,23763,Valid,H5,7600,Found,1964,40.6,-97.86667
Chernyi Bor,5339,Valid,H4,6000,Fell,1964,53.7,30.1
Grassland,10959,Valid,L4,4400,Found,1964,33.11667,-101.58333
Brownfield (1964),5152,Valid,H5,4100,Found,1964,33.21667,-102.18333
íˆanakkale,5250,Valid,L6,4000,Fell,1964,39.8,26.6
Loop (b),14703,Valid,H,1600,Found,1964,32.99167,-102.38833
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245,Fell,1964,26.13333,85.53333
Neptune Mountains,16944,Valid,"Iron, IAB complex",1070,Found,1964,-83.25,-55
Loop (c),14704,Valid,OC,861,Found,1964,32.98333,-102.38833
Leshan,12770,Valid,"Iron, IIE",344,Found,1964,29.6,103.7
Wellman (b),24238,Valid,OC,343,Found,1964,33.025,-102.41667
Pomozdino,18863,Valid,Eucrite-cm,327,Found,1964,62.2,54.16667
Jiange,12086,Valid,H5,222,Fell,1964,31.91667,104.91667
Wolamo,24324,Valid,OC,166.4,Fell,1964,9,39
Stratton,23730,Valid,OC,121,Found,1964,39.22167,-102.59
Atwood (b),4892,Valid,OC,77,Found,1964,40.51667,-103.26667
Etter,10062,Valid,L5,450000,Found,1965,35.98333,-101.9
Tishomingo,24010,Valid,"Iron, ungrouped",260000,Found,1965,34.25,-96.68333
Bocaiuva,5092,Valid,"Iron, ungrouped",64000,Found,1965,-17.16667,-43.83333
Barwell,4954,Valid,L5,44000,Fell,1965,52.56528,-1.33972
Anton,2311,Valid,H4,41800,Found,1965,33.7825,-102.18111
Hebron,11867,Valid,H6,21820,Found,1965,40.16667,-97.6
Conquista,5418,Valid,H4,20350,Fell,1965,-19.85,-47.55
Moorabie,16735,Valid,L3.8-an,14040,Found,1965,-30.01667,141.06667
Verissimo,24163,Valid,"Iron, IIIAB",14000,Found,1965,-19.73333,-48.31667
Little River (b),14666,Valid,H4/5,11700,Found,1965,38.44,-98.06667
Springer,23688,Valid,H5,8143,Found,1965,36.34611,-97.185
Kyle,12389,Valid,L6,7780,Found,1965,29.975,-97.86667
Eva,10066,Valid,H5,6700,Found,1965,36.81667,-101.90833
Wallareenya,24207,Valid,"Iron, IIIAB",4386,Found,1965,-20.66667,118.83333
Lone Star,14682,Valid,H4,4300,Found,1965,34.25972,-101.40833
Norristown,16997,Valid,"Iron, IIIAB",4200,Found,1965,32.51667,-82.55
Catherwood,5298,Valid,L6,3920,Found,1965,51.965,-107.43833
Taonan,23873,Valid,L5,3850,Fell,1965,45.4,122.9
McCook,15459,Valid,L6,3602,Found,1965,40.02,-100.78333
Del Rio,6639,Valid,"Iron, IIF",3596,Found,1965,29.36667,-100.96667
Erie,10045,Valid,L6,3300,Found,1965,40.03167,-105.05667
Hamilton (Texas),11484,Valid,OC,2700,Found,1965,31.59333,-98.25
St. Lawrence,23088,Valid,LL6,2600,Found,1965,31.73333,-101.505
Burnabbie,5173,Valid,H5,2515,Found,1965,-32.05,126.16667
Ferintosh,10090,Valid,OC,2201,Found,1965,52.8,-112.98333
Kinley,12319,Valid,L6,2000,Found,1965,52.04667,-107.23333
Monturaqui,16731,Valid,"Iron, IAB?",2000,Found,1965,-23.93333,-68.28333
Post,18877,Valid,L,2000,Found,1965,33.11667,-101.38333
Thurman,23980,Valid,OC,1959,Found,1965,39.52167,-103.16667
Kaffir (a),12223,Valid,L5,1874.9,Found,1965,34.62333,-101.91667
Severny Kolchim,23507,Valid,H3,1390,Found,1965,60.5,57
Seminole (b),23489,Valid,H4,1184,Found,1965,32.54333,-102.705
Tierra Blanca,23988,Valid,Winonaite,860,Found,1965,34.93333,-102.01667
Kapunda,12254,Valid,"Iron, IIIAB",542,Found,1965,-34.31667,138.93333
Wikieup,24260,Valid,H5,372,Found,1965,34.7,-113.6
Yayjinna,30359,Valid,L6,262.5,Found,1965,-32.03333,126.175
River,22612,Valid,L5,190.5,Found,1965,-30.36667,126.01667
Hautes Fagnes,52854,Valid,LL5,185,Found,1965,50.58333,6.16667
Dingo Pup Donga,7647,Valid,Ureilite,122.7,Found,1965,-30.43333,126.1
Wilbia,24261,Valid,H5,94,Found,1965,-26.45,131
Kabakly,12219,Valid,H4,71.6,Found,1965,39.76667,62.51667
Pannikin,18097,Valid,L6,13.6,Found,1965,-32.04167,126.18333
Zhigansk,30405,Valid,"Iron, IIIAB",900000,Found,1966,68,128.3
Saint-Sí©verin,23102,Valid,LL6,271000,Fell,1966,45.3,0.23333
Faucett,10077,Valid,H5,100000,Found,1966,39.61667,-94.86667
Hamilton (Queensland),11483,Valid,L6,68000,Found,1966,-28.48333,148.25
Avoca (Western Australia),4909,Valid,"Iron, IIIAB",37850,Found,1966,-30.85,122.31667
Seoni,23500,Valid,H6,20000,Fell,1966,21.68389,79.50083
Floyd,10113,Valid,L4,13000,Found,1966,34.19333,-103.575
Albion,457,Valid,"Iron, IVA",12280,Found,1966,46.83333,-117.25
Inman,12036,Valid,L/LL3.4,7250,Found,1966,38.25,-97.66667
Yocemento,30364,Valid,L4,5920,Found,1966,38.9,-99.43333
Elba,7821,Valid,H5,4175,Found,1966,39.83333,-103.21667
Skiff,23622,Valid,H4,3540,Found,1966,49.25,-111.86667
Kaffir (b),12224,Valid,H4,3500,Found,1966,34.67167,-101.815
Pavel,18173,Valid,H5,2968,Fell,1966,43.46667,25.51667
Kress (b),12359,Valid,L4,2600,Found,1966,34.35833,-101.73
Kramer Creek,12354,Valid,L4,2300,Found,1966,38.3925,-104.17667
Umm Ruaba,24118,Valid,L5,1700,Fell,1966,13.46667,31.21667
Wellman (d),24240,Valid,H,1615,Found,1966,33.01667,-102.36667
Pep,18791,Valid,OC,591,Found,1966,33.73,-102.57667
Timmersoi,24002,Valid,L5,516,Found,1966,18.91667,6.25
Coorara,5439,Valid,L6,116.7,Found,1966,-30.45,126.1
Sleeper Camp 002,23628,Valid,Iron,39.5,Found,1966,-30.48333,126.25
Burrika,5176,Valid,L6,20.4,Found,1966,-31.96667,125.83333
Zerhamra,30403,Valid,"Iron, IIIAB-an",630000,Found,1967,29.85861,-2.645
Seymchan,23510,Valid,"Pallasite, PMG",323300,Found,1967,62.9,152.43333
Nova Petropolis,17928,Valid,"Iron, IIIAB",305000,Found,1967,-29.43333,-50.91667
Wiluna,24281,Valid,H5,150000,Fell,1967,-26.59278,120.32833
Tiberrhamine,23985,Valid,L6,107000,Found,1967,28.11667,0.53333
Markovka,15427,Valid,H4,54200,Found,1967,52.4,79.8
Mossgiel,16758,Valid,L4,32383,Found,1967,-33.31667,144.78333
Credo,5468,Valid,L6,10820,Found,1967,-30.36667,120.73333
Tugalin-Bulen,24062,Valid,H6,10000,Fell,1967,45.46667,105.38333
Fluvanna (a),10116,Valid,L5,9500,Found,1967,32.8,-101.11667
Armel,2336,Valid,L5,9200,Found,1967,39.76667,-102.13333
Portales (c),18873,Valid,H4,6000,Found,1967,34.1,-103.41667
Little River (a),14665,Valid,H6,4400,Found,1967,38.38333,-98.01667
Laundry West,12739,Valid,L4,4002,Found,1967,-31.46667,126.93333
Nazareth (b),16929,Valid,L6,3600,Found,1967,34.5,-102.25
Portales (a),18871,Valid,H4,3240,Found,1967,34.06667,-103.5
Tathlith,23885,Valid,L6,2500,Fell,1967,19.38333,43.73333
Hartley,11847,Valid,L,2100,Found,1967,35.94167,-102.16
Parambu,18102,Valid,LL5,2000,Fell,1967,-6.23333,-40.7
Seminole (c),23490,Valid,H4,1711,Found,1967,32.55,-102.39167
Laundry Rockhole,12738,Valid,H5,1443,Found,1967,-31.53333,127.01667
Cope (b),5441,Valid,H5,817,Found,1967,39.68333,-102.845
Georgetown,10904,Valid,H6,687,Found,1967,39.7,-105.7
Portales (b),18872,Valid,L6,595.8,Found,1967,34.06667,-103.5
Caldera,5196,Valid,Eucrite-mmict,500,Found,1967,-27.05,-70.8
Baandee,4914,Valid,H6,256.3,Found,1967,-31.61667,118.03333
Denver,6660,Valid,L6,230,Fell,1967,39.7825,-104.93056
Tarlton,23880,Valid,H4,226.5,Found,1967,39.32,-82.37
Forrest 001,10124,Valid,H5,97.7,Found,1967,-30.81667,128.21667
Enigma,10036,Valid,H4,94,Found,1967,31.33333,-82.31667
Kingai,12316,Valid,H6,67.4,Fell,1967,11.63333,24.68333
Laundry East,12737,Valid,H3.7,43.1,Found,1967,-31.53333,127.1
Doolgunna,7710,Valid,L,20,Found,1967,-25.93333,119.3
Tsarev,24058,Valid,L5,1225300,Found,1968,48.7,45.7
Wildara,24265,Valid,H5,500000,Found,1968,-28.23333,120.85
Saint-Aubin,23096,Valid,"Iron, IIIAB",472000,Found,1968,48.48333,3.58333
Juromenha,12213,Valid,"Iron, IIIAB",25250,Fell,1968,38.74028,-7.27
Boolka,5108,Valid,H5,12000,Found,1968,-30.06667,141.06667
Nazareth (iron),16933,Valid,"Iron, IIIAB",11310,Found,1968,34.52667,-102.105
Kalvesta,12237,Valid,H4,10000,Found,1968,38.08333,-100.25
Motpena (a),16760,Valid,L6,8810,Found,1968,-31.1,138.26667
Idalia,11998,Valid,H,7400,Found,1968,39.695,-102.295
Dalhart,5508,Valid,H5,4400,Found,1968,36.04333,-102.40833
Wynyard,24344,Valid,H5,3479,Found,1968,51.88333,-104.18333
Smyer,23655,Valid,H6,3273,Found,1968,33.58333,-102.16667
Fenbark,10085,Valid,H5,1861,Found,1968,-30.44028,121.25694
Boaz (stone),5091,Valid,H5,1800,Found,1968,33.65167,-103.70833
Akhricha,428,Valid,H,1760,Found,1968,28.4625,1.025
Quinyambie,22365,Valid,LL3.6,1638,Found,1968,-30.15,140.98333
Nazareth (d),16931,Valid,H6,1500,Found,1968,34.58333,-102.08333
Delphos (a),6645,Valid,L4,1244.7,Found,1968,34.08333,-103.525
Elida (a),10014,Valid,L6,936.8,Found,1968,33.78333,-103.57667
Leslie,12771,Valid,H5,895,Found,1968,34.61139,-100.855
Mokrousovo,16714,Valid,L/LL4/5,789.2,Found,1968,55.9,66.7
Roosevelt County 080,22735,Valid,H6,727.8,Found,1968,34.05,-103.5
Oasis State Park,17974,Valid,OC,606,Found,1968,34.22833,-103.35833
Delphos (b),6646,Valid,OC,548,Found,1968,34.09,-103.61167
Elida (b),10015,Valid,OC,537.8,Found,1968,33.91667,-103.51833
Roosevelt County 001,22656,Valid,H3.8,462,Found,1968,33.78333,-103.56667
San Pedro Jacuaro,34063,Valid,LL6,460,Fell,1968,19.76667,-100.65
Webb,24228,Valid,L6,410.5,Found,1968,-31.69167,127.78333
Elida (c),10016,Valid,H5,385.5,Found,1968,33.79,-103.56333
Schenectady,23458,Valid,H5,283.3,Fell,1968,42.86083,-73.95028
Kivesvaara,12328,Valid,CM2,164,Found,1968,64.45,27.56667
Roosevelt County 032,22687,Valid,H5,141.1,Found,1968,34.08333,-103.5
Awere,4910,Valid,L4,134,Fell,1968,2.71667,32.83333
Roosevelt County 034,22689,Valid,H5,118.5,Found,1968,34.08333,-103.61667
Roosevelt County 037,22692,Valid,H4/5,94.3,Found,1968,34.08333,-103.51667
Roosevelt County 035,22690,Valid,L6,81.6,Found,1968,34.08333,-103.61667
Oak,17971,Valid,L5,75.3,Found,1968,-31.58333,127.7
Roosevelt County 036,22691,Valid,H5,65.2,Found,1968,34.08333,-103.61667
Bethel (b),5031,Valid,H4,56.8,Found,1968,34.24667,-103.395
Roosevelt County 061,22716,Valid,H5,49.5,Found,1968,34.08333,-103.51667
Roosevelt County 038,22693,Valid,H5,49.4,Found,1968,34.3,-103.45
Roosevelt County 060,22715,Valid,H5,34.2,Found,1968,34.08333,-103.61667
Roosevelt County 059,22714,Valid,L6,26.2,Found,1968,34.08333,-103.5
Loxton,14719,Valid,L5,22,Found,1968,-34.45,140.56667
Roosevelt County 033,22688,Valid,L4,21.8,Found,1968,34.08333,-103.5
Gunnadorah,11454,Valid,H5,19.7,Found,1968,-31,125.93333
Bethel (a),5030,Valid,OC,18.3,Found,1968,34.23333,-103.38333
Piancaldoli,18813,Valid,LL3.4,13.1,Fell,1968,44.24417,11.50222
Roosevelt County 058,22713,Valid,L4,12,Found,1968,34.08333,-103.5
Allende,2278,Valid,CV3,2000000,Fell,1969,26.96667,-105.31667
Buenaventura,5162,Valid,"Iron, IIIAB",113600,Found,1969,29.8,-107.55
Murchison,16875,Valid,CM2,100000,Fell,1969,-36.61667,145.2
Wooramel,24335,Valid,L5,71000,Found,1969,-25.65,114.21667
Ashmore,2349,Valid,H5,55400,Found,1969,32.9,-102.28333
Aprel'sky,2319,Valid,"Iron, IIIAB",54600,Found,1969,53.3,126.11667
Benjamin,5020,Valid,H4/5,51800,Found,1969,33.58333,-99.8
Yilmia,30362,Valid,EL6,40000,Found,1969,-31.19167,121.53333
Guin,11445,Valid,"Iron, ungrouped",34500,Found,1969,33.96667,-87.91667
Gobabeb,10939,Valid,H4,27000,Found,1969,-23.55,15.03333
Park,18104,Valid,L6,13000,Found,1969,39.11,-100.36167
Redfields,22551,Valid,"Iron, ungrouped",8740,Found,1969,-30.71667,116.5
Ikhrarene,12005,Valid,L4,5465,Found,1969,28.60417,1.04167
Bovedy,5121,Valid,L3,5460,Fell,1969,54.56667,-6.33333
Myersville,16886,Valid,OC,5397,Found,1969,28.95,-97.40278
Garrison,10864,Valid,H5,5116,Found,1969,33.86333,-103.34667
Edjudina,7766,Valid,H4,4480,Found,1969,-29.58639,122.18167
Patora,18112,Valid,H6,4375,Fell,1969,20.93694,82.05
Leoville (b),12767,Valid,OC,2500,Found,1969,39.60833,-100.475
Glasston,10928,Valid,L5,1990,Found,1969,48.71667,-97.3
Panhandle,18096,Valid,H5,1360,Found,1969,35.33333,-101.38333
Grier (b),11203,Valid,L5-7,929.4,Found,1969,34.26667,-103.38333
Suchy Dul,23737,Valid,L6,815.3,Fell,1969,50.53806,16.26333
Menindee Lakes 001,15479,Valid,L6,747,Found,1969,-33.16667,141.75
Yamato 691,24358,Valid,EH3,715,Found,1969,-71.84861,36.51944
West Reid,24247,Valid,H6,627.7,Found,1969,-30.05,128.93333
North Forrest,17003,Valid,H5,608.9,Found,1969,-30.5,128.1
Andreevka,2296,Valid,L3,600,Fell,1969,48.7,37.5
De Kalb,6623,Valid,H,566,Found,1969,39.59167,-94.92194
Oufrane,18051,Valid,L,540,Found,1969,28.29583,0.025
Roosevelt County 081,22736,Valid,H5,522.2,Found,1969,33.63333,-103.16667
Bou Hadid,5118,Valid,L,374,Found,1969,28.3125,0.23333
North Reid,17006,Valid,LL5,308.7,Found,1969,-30,128.91667
Delphos (d),6648,Valid,H5,276,Found,1969,34.05,-103.55
Menindee Lakes 002,15480,Valid,H5,270,Found,1969,-32.91667,141.88333
North West Forrest (H),17008,Valid,H4,238.4,Found,1969,-30.76667,128.01667
Shibayama,23532,Valid,L6,235,Found,1969,35.765,140.41
Tulia (iron),24070,Valid,Iron,190,Found,1969,34.555,-101.63
Menindee Lakes 003,15481,Valid,L6,172,Found,1969,-32.91667,141.88333
Menindee Lakes 004,15482,Valid,L6,158.5,Found,1969,-33.13333,141.71667
Yamato 693,24360,Valid,CK4/5,150,Found,1969,-71.5,35.66667
Reid,22556,Valid,H5,144.1,Found,1969,-30.06667,128.98333
Roosevelt County 085,22740,Valid,L4,140,Found,1969,34.31667,-103.38333
Yamato 692,24359,Valid,Diogenite,138,Found,1969,-71.5,35.66667
Roosevelt County 082,22737,Valid,H4,137,Found,1969,34.08333,-103.56667
Menindee Lakes 005,15483,Valid,H5,72.9,Found,1969,-32.91667,141.88333
